Champion,Week,Status,First Team,Second Team,Result,Time
الدوري المصري,الجولة 11,لم تبدأ,زد,المصري,---,16:00
الدوري المصري,الجولة 11,لم تبدأ,إنبي,البنك الاهلي,---,16:00
الدوري المصري,الجولة 11,لم تبدأ,بتروجيت,الاتحاد السكندري,---,19:00
الدوري المصري,الجولة 11,لم تبدأ,فاركو,غزل المحلة,---,19:00
الدوري الإنجليزي,الأسبوع الرابع والعشرون,لم تبدأ,نوتينجهام فورست,برايتون,---,14:30
الدوري الإنجليزي,الأسبوع الرابع والعشرون,لم تبدأ,ايفرتون,ليستر سيتي,---,17:00
الدوري الإنجليزي,الأسبوع الرابع والعشرون,لم تبدأ,نيوكاسل,فولهام,---,17:00
الدوري الإنجليزي,الأسبوع الرابع والعشرون,لم تبدأ,بورنموث,ليفربول,---,17:00
الدوري الإنجليزي,الأسبوع الرابع والعشرون,لم تبدأ,إيبسويتش تاون,ساوثامبتون,---,17:00
الدوري الإنجليزي,الأسبوع الرابع والعشرون,لم تبدأ,وولفرهامبتون,أستون فيلا,---,19:30
الدوري الإسباني,الأسبوع الثاني والعشرون,لم تبدأ,خيتافي,اشبيلية,---,15:00
الدوري الإسباني,الأسبوع الثاني والعشرون,لم تبدأ,فياريال,بلد الوليد,---,17:15
الدوري الإسباني,الأسبوع الثاني والعشرون,لم تبدأ,اتلتيكو مدريد,مايوركا,---,19:30
الدوري الإسباني,الأسبوع الثاني والعشرون,لم تبدأ,اسبانيول,ريال مدريد,---,22:00
الدوري الألماني,الأسبوع العشرون,لم تبدأ,شتوتجارت,مونشنجلادباخ,---,16:30
الدوري الألماني,الأسبوع العشرون,لم تبدأ,سانت باولي,أوجسبورج,---,16:30
الدوري الألماني,الأسبوع العشرون,لم تبدأ,بايرن ميونيخ,هولشتاين كيل,---,16:30
الدوري الألماني,الأسبوع العشرون,لم تبدأ,بوخوم,فرايبورج,---,16:30
الدوري الألماني,الأسبوع العشرون,لم تبدأ,هايدنهايم,بروسيا دورتموند,---,16:30
الدوري الألماني,الأسبوع العشرون,لم تبدأ,يونيون برلين,لايبزيج,---,19:30
الدوري الفرنسي,الأسبوع العشرون,لم تبدأ,بريست,باريس سان جيرمان,---,18:00
الدوري الفرنسي,الأسبوع العشرون,لم تبدأ,موناكو,اوكسير,---,20:00
الدوري الفرنسي,الأسبوع العشرون,لم تبدأ,ليل,سانت اتيان,---,22:05
الدوري الإيطالي,الأسبوع الثالث والعشرون,لم تبدأ,أودينيزي,فينيزيا,---,16:00
الدوري الإيطالي,الأسبوع الثالث والعشرون,لم تبدأ,مونزا,هيلاس فيرونا,---,16:00
الدوري الإيطالي,الأسبوع الثالث والعشرون,لم تبدأ,أتالانتا,تورينو,---,19:00
الدوري الإيطالي,الأسبوع الثالث والعشرون,لم تبدأ,بولونيا,كومو,---,21:45
الدوري السعودي,الأسبوع الثامن عشر,لم تبدأ,الخليج,ضمك,---,15:25
الدوري السعودي,الأسبوع الثامن عشر,لم تبدأ,الفتح,القادسية,---,17:00
الدوري السعودي,الأسبوع الثامن عشر,لم تبدأ,الاتحاد,الخلود,---,19:00
الدوري التركي,الأسبوع الثاني والعشرون,لم تبدأ,هاتاي سبور,انطاليا سبور,---,12:30
الدوري التركي,الأسبوع الثاني والعشرون,لم تبدأ,قيصري سبور,طرابزون سبور,---,15:00
الدوري التركي,الأسبوع الثاني والعشرون,لم تبدأ,إسطنبول باشاكشهير,سامسون سبور,---,18:00
الدوري البرتغالي,الأسبوع العشرون,لم تبدأ,ناسيونال ماديرا,أروكا,---,17:30
الدوري البرتغالي,الأسبوع العشرون,لم تبدأ,سانتا كلارا,كازا بيا,---,17:30
الدوري البرتغالي,الأسبوع العشرون,لم تبدأ,جل فيسنتي,إستوريل,---,20:00
الدوري البرتغالي,الأسبوع العشرون,لم تبدأ,فيتوريا جيماريش,اي في اس فوتبول,---,22:30
الدوري التونسي,الأسبوع السابع عشر,لم تبدأ,الترجي الجرجيسي,قوافل قفصة,---,15:00
الدوري التونسي,الأسبوع السابع عشر,لم تبدأ,شبيبة العمران,الافريقي التونسي,---,15:00
الدوري التونسي,الأسبوع السابع عشر,لم تبدأ,النجم الرياضي بالمتلوي,الملعب التونسي,---,15:00
